courseCode,courseName,courseWeek,duration
noc24-ae02,Aircraft Design,12 weeks,January - June 2023
noc24-ae03,Computational Science in Engineering,8 Weeks,January - June 2024
noc24-ae04,Fundamentals of Theoretical and Experimental Aerodynamics,12 Weeks,January - June 2025
noc24-ae05,Introduction to Aircraft Control System,12 Weeks,January - June 2023
noc24-ae06,Introduction to Experiments in Flight,4 Weeks,January - June 2023
noc24-ae07,Lighter than Air Systems,12 Weeks,January - June 2024
noc24-ae08,Rocket Propulsion,12 Weeks,January - June 2024
noc24-ae09,Combustion of Solid Fuels and Propellants,8 Weeks,January - June 2024
noc24-ae10,Introduction to Ancient Indian Technology,8 Weeks,January - June 2024
noc24-ae11,Aerospace Structural Analysis,8 Weeks,January - June 2024
noc24-ae12,Fundamentals of Supersonic and Hypersonic Flow,12 Weeks,January - June 2024
noc24-ag01,Cooling Technology: Why and How utilized in Food Processing and allied Industries,12 Weeks,January - June 2024
noc24-ag02,Machine Learning For Soil And Crop Management,12 Weeks,January - June 2024
noc24-ag03,Novel Technologies For Food Processing And Shelf Life Extension,12 Weeks,January - June 2024
noc24-ag04,Traction Engineering,8 Weeks,January - June 2024
noc24-ag05,Watershed Hydrology,12 weeks,January - June 2024
noc24-ag06,Water Quality Management Practices,12 weeks,January - June 2024
noc24-ag07,Modern Food Packaging Technologies: Regulatory Aspects and Global Trends,12 weeks,January - June 2024
noc24-ag08,Basics of Crop Breeding and Plant Biotechnology,12 Weeks,January - June 2024
noc24-ar01,Engineering/Architectural Graphics - part I - Orthographic projection,8 Weeks,January - June 2024
noc24-ar02,Engineering/Architectural Graphics – part II – Isometric and Axonometric Drawings,4 Weeks,January - June 2023
noc24-ar03,Environmental Impact Assessment,12 Weeks,January - June 2024
noc24-ar04,"Structure, Form, and Architecture: The Synergy",8 Weeks,January - June 2024
noc24-ar05,User Interface Design,4 Weeks,January - June 2024
noc24-ar06,Introduction to History of Architecture in India,4 Weeks,January - June 2024
